location,category,chambres,salles_de_bains,superficie,type_de_transaction,date,price
"Sousse, Kalaâ Sghira",Maisons et Villas,3.0,1.0,1.0,À Vendre,1 février 2020,85000.0
"Sousse, Akouda",Maisons et Villas,2.0,1.0,70.0,À Louer,1 février 2020,0.0
"Sousse, Autres villes",Appartements,2.0,1.0,120.0,À Louer,1 février 2020,1000.0
"Sousse, Hammam Sousse",Terrains et Fermes,,,,,1 février 2020,0.0
"Sousse, Hammam Sousse",Maisons et Villas,1.0,1.0,185.0,À Vendre,1 février 2020,75000.0
"Sousse, Sousse Riadh",Terrains et Fermes,,,,,1 février 2020,0.0
"Sousse, Sahloul",Appartements,1.0,1.0,50.0,À Louer,1 février 2020,370.0
"Sousse, Sousse Riadh","Magasins, Commerces et Locaux industriels",1.0,1.0,110.0,À Louer,1 février 2020,900.0
"Sousse, Kantaoui",Appartements,2.0,2.0,200.0,À Louer,1 février 2020,1800.0
"Sousse, Autres villes",Appartements,2.0,1.0,120.0,À Louer,1 février 2020,570.0
"Sousse, Sousse Jawhara",Locations de vacances,3.0,1.0,122.0,À Louer,1 février 2020,80.0
"Sousse, Enfidha",Terrains et Fermes,,,,,1 février 2020,0.0
"Sousse, Autres villes",Appartements,3.0,2.0,114.0,À Vendre,1 février 2020,0.0
"Sousse, Sousse Jawhara",Appartements,2.0,1.0,100.0,À Louer,1 février 2020,770.0
"Sousse, Autres villes",Terrains et Fermes,,,,,1 février 2020,0.0
"Sousse, Sousse Médina",Appartements,3.0,1.0,120.0,À Louer,1 février 2020,600.0
"Sousse, Sousse Jawhara",Maisons et Villas,6.0,4.0,1000.0,À Louer,1 février 2020,2200.0
"Sousse, Sousse Médina",Appartements,4.0,1.0,126.0,À Vendre,1 février 2020,210000.0
"Sousse, Sahloul",Appartements,3.0,1.0,186.0,À Vendre,1 février 2020,270000.0
"Sousse, Sousse",Terrains et Fermes,,,,,1 février 2020,280000.0
"Sousse, Kantaoui",Appartements,1.0,1.0,60.0,À Louer,1 février 2020,1200.0
"Sousse, Hammam Sousse",Appartements,2.0,1.0,120.0,À Louer,1 février 2020,750.0
"Sousse, Sousse Sidi Abdelhamid",Terrains et Fermes,,,,,1 février 2020,0.0
"Sousse, Sousse",Appartements,2.0,1.0,120.0,À Louer,1 février 2020,390.0
"Sousse, Sousse",Maisons et Villas,4.0,2.0,255.0,À Vendre,1 février 2020,950000.0
"Sousse, Sousse",Appartements,2.0,1.0,115.0,À Vendre,1 février 2020,222.0
"Sousse, Autres villes",Appartements,2.0,1.0,100.0,À Louer,1 février 2020,300.0
"Sousse, M'saken",Appartements,1.0,5.0,,À Vendre,1 février 2020,60.0
"Sousse, Autres villes",Autre Immobilier,,,,,1 février 2020,0.0
"Sousse, Sousse",Appartements,3.0,2.0,139.0,À Vendre,1 février 2020,450000.0
"Sousse, Sousse Riadh",Appartements,2.0,1.0,95.0,À Louer,1 février 2020,480.0
"Sousse, Sousse Riadh","Magasins, Commerces et Locaux industriels",1.0,1.0,27.0,À Louer,1 février 2020,350.0
"Sousse, Akouda",Appartements,2.0,1.0,90.0,À Vendre,1 février 2020,185000.0
"Sousse, Akouda",Appartements,1.0,1.0,35.0,À Vendre,1 février 2020,92000.0
"Sousse, Sahloul",Appartements,3.0,1.0,143.0,À Vendre,1 février 2020,299000.0
"Sousse, Sousse Jawhara",Appartements,1.0,1.0,131.0,À Vendre,1 février 2020,137000.0
"Sousse, Sousse Jawhara",Autre Immobilier,,,,,1 février 2020,350.0
"Sousse, Autres villes",Maisons et Villas,5.0,3.0,300.0,À Louer,1 février 2020,1400.0
"Sousse, Sahloul","Magasins, Commerces et Locaux industriels",1.0,80.0,,À Vendre,1 février 2020,120000.0
"Sousse, Sahloul",Bureaux et Plateaux,2.0,1.0,95.0,À Vendre,1 février 2020,160000.0
"Sousse, Sousse Jawhara",Appartements,2.0,1.0,170.0,À Louer,1 février 2020,500.0
"Sousse, Sahloul",Appartements,3.0,1.0,90.0,À Vendre,1 février 2020,137000.0
"Sousse, Sousse Jawhara",Maisons et Villas,4.0,1.0,452.0,À Vendre,1 février 2020,1050000.0
"Sousse, M'saken",Terrains et Fermes,,,,,1 février 2020,0.0
"Sousse, Sousse Jawhara",Maisons et Villas,4.0,1.0,357.0,À Vendre,1 février 2020,570000.0
"Sousse, Kalaâ Sghira",Appartements,1.0,1.0,40.0,À Louer,1 février 2020,200.0
"Sousse, Enfidha",Terrains et Fermes,,,,,1 février 2020,5463.0
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,1 février 2020,380000.0
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,1 février 2020,307000.0
"Sousse, Akouda",Terrains et Fermes,,,,,1 février 2020,673.0
"Sousse, Hammam Sousse","Magasins, Commerces et Locaux industriels",1.0,1.0,1.0,À Vendre,1 février 2020,8000.0
"Sousse, Autres villes",Appartements,0.0,1.0,30.0,À Vendre,1 février 2020,100000.0
"Sousse, Kalaâ Kebira","Magasins, Commerces et Locaux industriels",3.0,1.0,550.0,À Louer,1 février 2020,1600.0
"Sousse, Sahloul",Appartements,4.0,1.0,182.0,À Vendre,31 janvier 2020,380000.0
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,31 janvier 2020,0.0
"Sousse, Sahloul",Bureaux et Plateaux,2.0,300.0,,À Vendre,31 janvier 2020,0.0
"Sousse, Sousse",Locations de vacances,1.0,1.0,80.0,À Louer,31 janvier 2020,60.0
"Sousse, Akouda",Terrains et Fermes,,,,,31 janvier 2020,300000.0
"Sousse, Kalaâ Sghira",Appartements,1.0,1.0,35.0,À Louer,31 janvier 2020,0.0
"Sousse, Sousse",Appartements,3.0,1.0,240.0,À Vendre,31 janvier 2020,480000.0
"Sousse, Sousse Riadh",Maisons et Villas,2.0,2.0,127.0,À Vendre,31 janvier 2020,165000.0
"Sousse, Sousse Riadh",Appartements,2.0,1.0,115.0,À Vendre,31 janvier 2020,222000.0
"Sousse, Sahloul",Terrains et Fermes,,,,,31 janvier 2020,398.0
"Sousse, Hergla",Terrains et Fermes,,,,,31 janvier 2020,13000.0
"Sousse, Hergla",Terrains et Fermes,,,,,31 janvier 2020,45000.0
"Sousse, Sahloul",Appartements,3.0,1.0,130.0,À Louer,31 janvier 2020,900.0
"Sousse, Sousse",Bureaux et Plateaux,3.0,1.0,86.0,À Louer,31 janvier 2020,1000.0
"Sousse, Sousse Médina",Bureaux et Plateaux,3.0,1.0,113.0,À Louer,31 janvier 2020,0.0
"Sousse, Sousse Jawhara",Appartements,2.0,1.0,100.0,À Louer,31 janvier 2020,850.0
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",1.0,1.0,1.0,À Louer,31 janvier 2020,0.0
"Sousse, Autres villes",Appartements,1.0,1.0,70.0,À Louer,31 janvier 2020,70.0
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",2.0,1.0,2147483647.0,À Vendre,31 janvier 2020,0.0
"Sousse, Sousse Jawhara","Magasins, Commerces et Locaux industriels",1.0,1.0,220.0,À Louer,31 janvier 2020,750.0
"Sousse, Autres villes",Terrains et Fermes,,,,,31 janvier 2020,0.0
"Sousse, Autres villes",Appartements,2.0,1.0,80.0,À Louer,31 janvier 2020,350.0
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",2.0,1.0,2.0,À Louer,31 janvier 2020,0.0
"Sousse, Zaouit-Ksibat Thrayett",Maisons et Villas,4.0,1.0,100.0,À Louer,31 janvier 2020,300.0
"Sousse, Akouda",Terrains et Fermes,,,,,31 janvier 2020,289600.0
"Sousse, Zaouit-Ksibat Thrayett",Terrains et Fermes,,,,,31 janvier 2020,30000.0
"Sousse, Sahloul",Appartements,4.0,2.0,160.0,À Louer,31 janvier 2020,850.0
"Sousse, Sousse Riadh",Terrains et Fermes,,,,,31 janvier 2020,0.0
"Sousse, Sahloul",Appartements,3.0,1.0,85.0,À Louer,31 janvier 2020,550.0
"Sousse, Autres villes",Colocations,3.0,1.0,120.0,À Louer,31 janvier 2020,150.0
"Sousse, Sousse",Bureaux et Plateaux,1.0,1.0,30.0,À Louer,31 janvier 2020,350.0
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",1.0,1.0,25.0,À Vendre,31 janvier 2020,0.0
"Sousse, Autres villes",Terrains et Fermes,,,,,31 janvier 2020,1.0
"Sousse, Kantaoui",Bureaux et Plateaux,1.0,1.0,35.0,À Louer,31 janvier 2020,0.0
"Sousse, Hammam Sousse",Appartements,2.0,1.0,150.0,À Louer,31 janvier 2020,750.0
"Sousse, Sousse Médina",Maisons et Villas,2.0,1.0,87.0,À Vendre,31 janvier 2020,0.0
"Sousse, Kantaoui",Terrains et Fermes,,,,,31 janvier 2020,429000.0
"Sousse, Sahloul",Terrains et Fermes,,,,,31 janvier 2020,500.0
"Sousse, Autres villes",Locations de vacances,2.0,1.0,90.0,À Louer,31 janvier 2020,50.0
"Sousse, Autres villes",Appartements,2.0,1.0,80.0,À Vendre,31 janvier 2020,85000.0
"Sousse, Autres villes",Terrains et Fermes,,,,,31 janvier 2020,70000.0
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,31 janvier 2020,450000.0
"Sousse, Autres villes",Maisons et Villas,2.0,1.0,202.0,À Vendre,31 janvier 2020,50000.0
"Sousse, Hergla",Maisons et Villas,3.0,3.0,318.0,À Vendre,31 janvier 2020,500000.0
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",1.0,1.0,1000.0,À Vendre,31 janvier 2020,1800000.0
"Sousse, Kalaâ Sghira",Terrains et Fermes,,,,,31 janvier 2020,95000.0
"Sousse, Sousse",Appartements,2.0,1.0,115.0,À Vendre,31 janvier 2020,275000.0
"Sousse, Sousse",Appartements,3.0,1.0,161.0,À Vendre,31 janvier 2020,500000.0
"Sousse, Akouda",Appartements,2.0,1.0,75.0,À Vendre,31 janvier 2020,0.0
"Sousse, Sousse Jawhara",Maisons et Villas,4.0,2.0,341.0,À Vendre,31 janvier 2020,520000.0
"Sousse, Sahloul",Appartements,3.0,1.0,115.0,À Vendre,31 janvier 2020,340000.0
"Sousse, Autres villes",Maisons et Villas,3.0,1.0,1.0,À Louer,31 janvier 2020,350.0
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",2.0,1.0,60.0,À Vendre,31 janvier 2020,0.0
"Sousse, Akouda",Appartements,2.0,2.0,100.0,À Vendre,31 janvier 2020,0.0
"Sousse, Sousse",Locations de vacances,1.0,1.0,80.0,À Louer,31 janvier 2020,60.0
"Sousse, Sousse",Appartements,2.0,1.0,78.0,À Louer,31 janvier 2020,600.0
"Sousse, Kalaâ Kebira",Terrains et Fermes,,,,,31 janvier 2020,180.0
"Sousse, Sousse",Locations de vacances,1.0,1.0,80.0,À Louer,31 janvier 2020,60.0
"Sousse, Sousse",Appartements,2.0,1.0,107.0,À Vendre,31 janvier 2020,176000.0
"Sousse, Autres villes",Bureaux et Plateaux,1.0,1.0,55.0,À Louer,31 janvier 2020,650.0
"Sousse, Hammam Sousse",Appartements,2.0,1.0,100.0,À Louer,31 janvier 2020,600.0
"Sousse, Hammam Sousse",Appartements,1.0,1.0,55.0,À Louer,31 janvier 2020,450.0
"Sousse, Hammam Sousse",Maisons et Villas,2.0,1.0,,À Vendre,31 janvier 2020,150.0
"Sousse, M'saken",Maisons et Villas,3.0,1.0,140.0,À Vendre,31 janvier 2020,0.0
"Sousse, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,0.0
"Sousse, Sousse Riadh",Appartements,3.0,1.0,80.0,À Louer,30 janvier 2020,300.0
"Sousse, Sousse",Maisons et Villas,4.0,2.0,444.0,À Vendre,30 janvier 2020,0.0
"Sousse, Enfidha",Terrains et Fermes,,,,,30 janvier 2020,0.0
"Sousse, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,0.0
"Sousse, Hammam Sousse","Magasins, Commerces et Locaux industriels",1.0,0.0,10.0,À Vendre,30 janvier 2020,0.0
"Sousse, Autres villes",Maisons et Villas,3.0,1.0,400.0,À Vendre,30 janvier 2020,519000.0
"Sousse, Sousse",Appartements,2.0,2.0,120.0,À Vendre,30 janvier 2020,250.0
"Sousse, Sousse Riadh",Maisons et Villas,3.0,1.0,4000.0,À Louer,30 janvier 2020,50.0
"Sousse, Sousse Médina","Magasins, Commerces et Locaux industriels",1.0,0.0,26.0,À Louer,30 janvier 2020,0.0
"Sousse, Enfidha",Terrains et Fermes,,,,,30 janvier 2020,180000.0
"Sousse, M'saken",Terrains et Fermes,,,,,30 janvier 2020,1.0
"Sousse, Sahloul",Appartements,4.0,200.0,,À Louer,30 janvier 2020,0.0
"Sousse, Sousse Jawhara",Maisons et Villas,4.0,2.0,220.0,À Louer,30 janvier 2020,800.0
"Sousse, Hammam Sousse",Appartements,1.0,1.0,80.0,À Louer,30 janvier 2020,70.0
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",1.0,12.0,,À Louer,30 janvier 2020,0.0
"Sousse, Hammam Sousse",Appartements,1.0,1.0,60.0,À Louer,30 janvier 2020,60.0
"Sousse, Autres villes",Maisons et Villas,2.0,2.0,2.0,À Vendre,30 janvier 2020,200.0
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,30 janvier 2020,750.0
"Sousse, Kantaoui",Maisons et Villas,3.0,1.0,300.0,À Louer,30 janvier 2020,1800.0
"Sousse, Akouda",Terrains et Fermes,,,,,30 janvier 2020,665000.0
"Sousse, Sahloul",Appartements,2.0,1.0,80.0,À Louer,30 janvier 2020,550.0
"Sousse, Hammam Sousse",Appartements,1.0,1.0,75.0,À Louer,30 janvier 2020,450.0
"Sousse, Sahloul",Bureaux et Plateaux,2.0,1.0,75.0,À Louer,30 janvier 2020,750.0
"Sousse, Sousse",Appartements,3.0,1.0,207.0,À Vendre,30 janvier 2020,350000.0
"Sousse, Sousse",Appartements,2.0,1.0,90.0,À Louer,30 janvier 2020,650.0
"Sousse, Sousse",Maisons et Villas,5.0,2.0,486.0,À Vendre,30 janvier 2020,1050000.0
"Sousse, Sousse",Terrains et Fermes,,,,,30 janvier 2020,260000.0
"Sousse, Sousse",Maisons et Villas,3.0,1.0,261.0,À Vendre,30 janvier 2020,190000.0
"Sousse, Sousse",Terrains et Fermes,,,,,30 janvier 2020,300000.0
"Sousse, Sousse",Bureaux et Plateaux,1.0,1.0,60.0,À Vendre,30 janvier 2020,80000.0
"Sousse, Sousse",Terrains et Fermes,,,,,30 janvier 2020,160000.0
"Sousse, Sousse",Terrains et Fermes,,,,,30 janvier 2020,290000.0
"Sousse, Sousse",Appartements,2.0,1.0,100.0,À Louer,30 janvier 2020,750.0
"Sousse, Sousse",Appartements,4.0,1.0,150.0,À Vendre,30 janvier 2020,215000.0
"Sousse, Sahloul","Magasins, Commerces et Locaux industriels",1.0,21.0,,À Louer,30 janvier 2020,750.0
"Sousse, Akouda",Terrains et Fermes,,,,,30 janvier 2020,67840.0
"Sousse, Sousse Jawhara",Appartements,3.0,3.0,137.0,À Vendre,30 janvier 2020,339000.0
"Sousse, Hammam Sousse",Bureaux et Plateaux,2.0,1.0,85.0,À Louer,30 janvier 2020,600.0
"Sousse, Sousse",Terrains et Fermes,,,,,30 janvier 2020,330000.0
"Sousse, Sousse",Appartements,3.0,1.0,110.0,À Louer,30 janvier 2020,1200.0
"Sousse, Hammam Sousse",Locations de vacances,2.0,1.0,1.0,À Louer,30 janvier 2020,50.0
"Sousse, Kantaoui",Locations de vacances,1.0,1.0,40.0,À Louer,30 janvier 2020,60.0
"Sousse, Sousse Riadh",Maisons et Villas,3.0,1.0,130.0,À Vendre,30 janvier 2020,155.0
"Sousse, Sahloul","Magasins, Commerces et Locaux industriels",1.0,35.0,,À Louer,30 janvier 2020,800.0
"Sousse, Autres villes",Appartements,2.0,1.0,80.0,À Louer,30 janvier 2020,650.0
"Sousse, Sousse",Appartements,1.0,1.0,60.0,À Vendre,30 janvier 2020,155000.0
"Sousse, Kalaâ Kebira",Appartements,170.0,170.0,170.0,À Vendre,30 janvier 2020,170.0
"Sousse, Sahloul","Magasins, Commerces et Locaux industriels",1.0,24.0,,À Louer,30 janvier 2020,850.0
"Sousse, Kantaoui",Maisons et Villas,4.0,4.0,500.0,À Louer,30 janvier 2020,1700.0
"Sousse, Sahloul",Terrains et Fermes,,,,,30 janvier 2020,520000.0
"Sousse, Hammam Sousse",Terrains et Fermes,,,,,30 janvier 2020,290000.0
"Sousse, Autres villes",Autre Immobilier,,,,,30 janvier 2020,0.0
"Sousse, Hammam Sousse",Appartements,2.0,1.0,110.0,À Louer,30 janvier 2020,1100.0
"Sousse, Sousse",Terrains et Fermes,,,,,30 janvier 2020,0.0
"Sousse, Sousse Médina",Bureaux et Plateaux,2.0,1.0,57.0,À Louer,30 janvier 2020,0.0
"Sousse, Sahloul",Appartements,2.0,1.0,100.0,À Louer,30 janvier 2020,800.0
"Sousse, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,400000.0
"Sousse, Hergla",Appartements,2.0,1.0,70.0,À Louer,30 janvier 2020,1.0
"Sousse, Enfidha",Terrains et Fermes,,,,,30 janvier 2020,4800000.0
"Sousse, Kantaoui",Appartements,1.0,1.0,55.0,À Louer,30 janvier 2020,520.0
"Sousse, Sahloul","Magasins, Commerces et Locaux industriels",1.0,1.0,35.0,À Louer,30 janvier 2020,600.0
"Sousse, Sousse Sidi Abdelhamid",Appartements,1.0,1.0,70.0,À Louer,30 janvier 2020,280.0
"Sousse, Hammam Sousse",Appartements,1.0,1.0,60.0,À Louer,30 janvier 2020,1000.0
"Sousse, Sousse Jawhara",Appartements,2.0,1.0,113.0,À Vendre,30 janvier 2020,235000.0
"Sousse, Sahloul",Appartements,2.0,1.0,116.0,À Vendre,30 janvier 2020,250000.0
"Sousse, Sahloul",Appartements,3.0,3.0,137.0,À Vendre,30 janvier 2020,339000.0
"Sousse, Sousse",Appartements,3.0,1.0,115.0,À Louer,30 janvier 2020,1000.0
"Sousse, Sousse Riadh",Maisons et Villas,3.0,1.0,250.0,À Louer,30 janvier 2020,800.0
"Sousse, Sahloul",Appartements,2.0,1.0,110.0,À Vendre,30 janvier 2020,168000.0
"Sousse, Sahloul",Appartements,2.0,2.0,130.0,À Vendre,30 janvier 2020,280000.0
"Sousse, Hammam Sousse",Maisons et Villas,6.0,3.0,493.0,À Vendre,30 janvier 2020,500000.0
"Sousse, Sousse Médina","Magasins, Commerces et Locaux industriels",1.0,1.0,252.0,À Vendre,30 janvier 2020,250000.0
"Sousse, Sousse Jawhara",Appartements,2.0,2.0,120.0,À Vendre,30 janvier 2020,198000.0
"Sousse, Sousse Jawhara",Bureaux et Plateaux,1.0,1.0,657.0,À Vendre,30 janvier 2020,560000.0
"Sousse, Sousse Jawhara",Maisons et Villas,4.0,2.0,641.0,À Vendre,30 janvier 2020,380000.0
"Sousse, Sousse Jawhara",Maisons et Villas,2.0,2.0,494.0,À Vendre,30 janvier 2020,455000.0
"Sousse, Sousse",Appartements,1.0,1.0,70.0,À Vendre,30 janvier 2020,140000.0
"Sousse, Sahloul",Appartements,3.0,1.0,130.0,À Louer,30 janvier 2020,850.0
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,30 janvier 2020,287000.0
"Sousse, Sousse Jawhara",Appartements,3.0,1.0,190.0,À Vendre,30 janvier 2020,200000.0
"Sousse, Sousse Jawhara",Maisons et Villas,3.0,2.0,200.0,À Louer,30 janvier 2020,650.0
"Sousse, Sousse Riadh",Appartements,2.0,1.0,103.0,À Vendre,30 janvier 2020,201000.0
"Sousse, Sousse Jawhara",Appartements,3.0,2.0,150.0,À Louer,30 janvier 2020,700.0
"Sousse, Autres villes",Appartements,2.0,1.0,60.0,À Louer,30 janvier 2020,700.0
"Sousse, Hammam Sousse",Appartements,1.0,1.0,60.0,À Louer,30 janvier 2020,650.0
"Sousse, Kantaoui",Appartements,2.0,2.0,95.0,À Vendre,30 janvier 2020,220000.0
"Sousse, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,1.0
"Sousse, Autres villes",Terrains et Fermes,,,,,30 janvier 2020,110000.0
"Sousse, Akouda","Magasins, Commerces et Locaux industriels",1.0,1.0,80.0,À Louer,30 janvier 2020,280.0
"Sousse, Autres villes",Appartements,1.0,1.0,80.0,À Louer,30 janvier 2020,40.0
"Sousse, Hammam Sousse",Maisons et Villas,3.0,2.0,180.0,À Louer,29 janvier 2020,850.0
"Sousse, Sahloul",Maisons et Villas,3.0,2.0,200.0,À Louer,29 janvier 2020,1200.0
"Sousse, Autres villes",Terrains et Fermes,,,,,29 janvier 2020,0.0
"Sousse, Autres villes",Terrains et Fermes,,,,,29 janvier 2020,49000.0
"Sousse, Sidi Bou Ali",Terrains et Fermes,,,,,29 janvier 2020,120000000.0
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",1.0,1.0,1.0,À Vendre,29 janvier 2020,1700.0
"Sousse, Autres villes",Appartements,3.0,1.0,80.0,À Vendre,29 janvier 2020,60000.0
"Sousse, Autres villes",Maisons et Villas,1.0,1.0,80.0,À Louer,29 janvier 2020,0.0
"Sousse, Kalaâ Kebira",Appartements,1.0,1.0,50.0,À Louer,29 janvier 2020,180.0
"Sousse, M'saken",Maisons et Villas,6.0,2.0,470.0,À Vendre,29 janvier 2020,145000.0
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",0.0,1.0,12.0,À Louer,29 janvier 2020,300.0
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",1.0,1.0,28.0,À Vendre,29 janvier 2020,35000.0
"Sousse, Sousse",Bureaux et Plateaux,3.0,0.0,76.0,À Louer,29 janvier 2020,0.0
"Sousse, Sousse",Maisons et Villas,9.0,3.0,480.0,À Vendre,29 janvier 2020,360.0
"Sousse, Hammam Sousse",Appartements,2.0,1.0,120.0,À Louer,29 janvier 2020,1000.0
"Sousse, Hammam Sousse",Appartements,2.0,1.0,85.0,À Louer,29 janvier 2020,590.0
"Sousse, Hammam Sousse",Maisons et Villas,2.0,1.0,120.0,À Louer,29 janvier 2020,750.0
"Sousse, Sousse Riadh",Terrains et Fermes,,,,,29 janvier 2020,120000000.0
"Sousse, Sahloul",Appartements,3.0,1.0,135.0,À Louer,29 janvier 2020,1000.0
"Sousse, Autres villes",Terrains et Fermes,,,,,29 janvier 2020,225.0
"Sousse, Hammam Sousse",Appartements,1.0,1.0,65.0,À Louer,29 janvier 2020,700.0
"Sousse, Sousse Jawhara",Appartements,2.0,1.0,100.0,À Louer,29 janvier 2020,620.0
"Sousse, Sousse",Maisons et Villas,3.0,1.0,500.0,À Vendre,29 janvier 2020,1300000.0
"Sousse, Kantaoui",Terrains et Fermes,,,,,29 janvier 2020,1200.0
"Sousse, Sousse Jawhara",Maisons et Villas,4.0,1.0,532.0,À Vendre,29 janvier 2020,950000.0
"Sousse, Sousse",Bureaux et Plateaux,3.0,1.0,75.0,À Vendre,29 janvier 2020,150000.0
"Sousse, Sousse Riadh",Maisons et Villas,6.0,2.0,86.0,À Vendre,29 janvier 2020,300000.0
"Sousse, Hammam Sousse",Appartements,3.0,1.0,125.0,À Vendre,29 janvier 2020,325000.0
"Sousse, Kantaoui",Appartements,2.0,45.0,,À Louer,29 janvier 2020,500.0
"Sousse, Hammam Sousse",Appartements,2.0,1.0,90.0,À Vendre,29 janvier 2020,198000.0
"Sousse, Hergla",Appartements,1.0,1.0,70.0,À Louer,29 janvier 2020,70.0
"Sousse, Sousse Jawhara",Appartements,2.0,1.0,100.0,À Louer,29 janvier 2020,500.0
"Sousse, Autres villes",Maisons et Villas,2.0,2.0,430.0,À Vendre,29 janvier 2020,0.0
"Sousse, Sousse Riadh",Maisons et Villas,1.0,1.0,1.0,À Vendre,29 janvier 2020,140.0
"Sousse, Hergla",Appartements,3.0,1.0,125.0,À Vendre,29 janvier 2020,250000.0
"Sousse, Sousse Jawhara",Appartements,2.0,1.0,115.0,À Louer,29 janvier 2020,850.0
"Sousse, Sousse Riadh",Terrains et Fermes,,,,,29 janvier 2020,110000.0
"Sousse, Sousse Médina",Maisons et Villas,10.0,4.0,1.0,À Vendre,29 janvier 2020,0.0
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,29 janvier 2020,1350000.0
"Sousse, Hammam Sousse",Maisons et Villas,4.0,1.0,500.0,À Louer,29 janvier 2020,2100.0
"Sousse, Sahloul",Appartements,1.0,1.0,75.0,À Louer,29 janvier 2020,700.0
"Sousse, Akouda",Terrains et Fermes,,,,,29 janvier 2020,100.0
"Sousse, Sahloul",Maisons et Villas,3.0,1.0,400.0,À Vendre,29 janvier 2020,800000.0
"Sousse, Hammam Sousse",Appartements,2.0,1.0,110.0,À Louer,29 janvier 2020,800.0
"Sousse, Sahloul",Appartements,2.0,1.0,145.0,À Vendre,29 janvier 2020,290000.0
"Sousse, Sahloul",Appartements,2.0,1.0,130.0,À Louer,29 janvier 2020,900.0
"Sousse, Sahloul",Maisons et Villas,3.0,1.0,210.0,À Vendre,29 janvier 2020,350000.0
"Sousse, Hammam Sousse",Appartements,1.0,1.0,55.0,À Louer,29 janvier 2020,400.0
"Sousse, Kantaoui",Terrains et Fermes,,,,,29 janvier 2020,120000.0
"Sousse, Sousse","Magasins, Commerces et Locaux industriels",1.0,45.0,,À Vendre,29 janvier 2020,150000.0
"Sousse, Sahloul",Appartements,2.0,1.0,115.0,À Louer,29 janvier 2020,900.0
"Sousse, Kalaâ Sghira",Terrains et Fermes,,,,,29 janvier 2020,180000.0
"Sousse, Sahloul",Appartements,4.0,2.0,145.0,À Louer,29 janvier 2020,1200.0
"Sousse, M'saken",Colocations,2.0,1.0,90.0,À Louer,29 janvier 2020,340.0
"Sousse, Sousse Riadh",Appartements,2.0,1.0,77.0,À Vendre,29 janvier 2020,95500.0
"Sousse, Autres villes",Appartements,,,,,28 janvier 2020,0.0
"Sousse, Kantaoui",Terrains et Fermes,,,,,28 janvier 2020,900.0
"Sousse, Sousse Médina",Appartements,2.0,1.0,80.0,À Louer,28 janvier 2020,600.0
"Sousse, Hammam Sousse",Maisons et Villas,3.0,1.0,350.0,À Vendre,28 janvier 2020,470000.0
"Sousse, Kantaoui",Terrains et Fermes,,,,,28 janvier 2020,495000.0
"Sousse, Kalaâ Sghira",Terrains et Fermes,,,,,28 janvier 2020,20000.0
"Sousse, Kantaoui",Appartements,2.0,1.0,120.0,À Louer,28 janvier 2020,750.0
"Sousse, Kalaâ Kebira",Appartements,3.0,1.0,120.0,À Louer,28 janvier 2020,290.0
"Sousse, M'saken",Terrains et Fermes,,,,,28 janvier 2020,85000.0
"Sousse, Kantaoui",Appartements,2.0,1.0,70.0,À Louer,28 janvier 2020,650.0
"Sousse, Hergla",Terrains et Fermes,,,,,28 janvier 2020,120.0
"Sousse, Sahloul","Magasins, Commerces et Locaux industriels",1.0,1.0,42.0,À Vendre,28 janvier 2020,10.0
"Sousse, Sousse Jawhara",Appartements,2.0,1.0,120.0,À Louer,28 janvier 2020,850.0
"Sousse, Sousse",Appartements,1.0,2.0,105.0,À Vendre,28 janvier 2020,202.0
"Sousse, Sousse Riadh","Magasins, Commerces et Locaux industriels",2.0,1.0,200.0,À Vendre,28 janvier 2020,90.0
"Sousse, Hammam Sousse",Appartements,2.0,1.0,100.0,À Louer,28 janvier 2020,850.0
"Sousse, Sousse",Maisons et Villas,2.0,1.0,600.0,À Vendre,28 janvier 2020,820000.0
"Sousse, Sousse",Maisons et Villas,2.0,1.0,120.0,À Louer,28 janvier 2020,300.0
"Sousse, Autres villes",Terrains et Fermes,,,,,28 janvier 2020,50000.0
"Sousse, Sousse Jawhara",Appartements,2.0,1.0,100.0,À Vendre,28 janvier 2020,300000.0
"Sousse, Sousse Jawhara",Terrains et Fermes,,,,,28 janvier 2020,440000.0
"Sousse, Autres villes","Magasins, Commerces et Locaux industriels",,,,,28 janvier 2020,500.0
